"","x"
"GNLY",402326.017403561
"CD74",357013.841807806
"MALAT1",252565.035694759
"NKG7",249665.619926423
"HLA.DRA",197873.192581084
"HLA.DRB1",131054.800589385
"HLA.DPB1",114562.41839496
"LTB",113864.268095626
"IL32",113582.960434633
"CCL5",104871.715406353
"ACTB",102433.974212974
"S100A4",100088.569688671
"HLA.DPA1",96912.046438375
"JUNB",95973.7197694497
"RPS2",94540.0976392794
"B2M",93991.3973136758
"RPL13",91959.360243394
"RPL34",84911.1317162984
"TYROBP",82101.762233862
"RPS6",80064.6320176758
"CD79A",74789.8393270385
"GZMB",73526.7011822742
"RPL3",72665.181713541
"RPL7",70820.0843286938
"HLA.DRB5",69954.8488757866
"RPL10",68689.4920392781
"RPS4X",68468.5500043854
"IER2",68403.2478130189
"TMSB4X",68104.9312802553
"FTL",67375.2885617246
"RPS12",66839.2114506969
"MT.CO2",66625.5175600215
"RPS27",66173.7492137188
"RPS18",65351.8755247304
"GZMA",65139.2418170606
"PFN1",65068.9237899235
"RPL13A",64262.1191474879
"RPL32",64211.2132778335
"ACTG1",63942.6824248212
"IGLL5",63163.896462089
"RPL18A",63079.5413569184
"RPLP1",62702.4451657375
"RPS3A",62595.1402757745
"TMSB10",62225.9152443898
"HCST",62088.0356005494
"CD52",61676.498919725
"CD37",60915.5378874388
"FCER1G",60823.8873034532
"CD79B",60449.417824237
"RPS19",59615.0825827792
"MT.CO1",59222.4312609271
"CYBA",58144.0430923911
"RPS14",57909.0758016473
"IFITM2",57316.319810558
"CST7",56663.2588341135
"DUSP1",56502.3252301732
"RPLP2",56501.8899530359
"FTH1",56303.9897247257
"RPS5",56278.373988491
"JUN",56173.369064906
"CST3",56022.0332983558
"VIM",55597.5851234647
"HLA.A",55537.0205292101
"RPS3",55479.051658296
"CD3D",55075.3777698001
"LDHB",54793.0830130469
"GAPDH",54645.1857915117
"RPL11",54596.0692726225
"RPL21",54211.8793632872
"EEF1A1",53927.1209433833
"H3F3B",53895.2843330151
"SH3BGRL3",53864.3320103788
"CD7",53748.3753128887
"RPL8",53004.2185165733
"RPL4",52637.6725859181
"RPL31",52214.959420817
"CD3E",52057.0993779637
"CTSW",51371.0462125798
"BTG1",51160.6857133181
"MT.ND2",51096.9394594909
"RPS27A",51024.1653743866
"S100A6",50817.0253441641
"FOS",50732.9428462482
"RPLP0",50523.1514168084
"MT.CYB",50516.4490730392
"RPS8",50361.892453854
"NOSIP",50188.1279584292
"CLIC3",49867.4235645238
"LGALS1",49586.0312178241
"MT.ATP6",49465.9918529768
"RPL10A",49180.4370360454
"HLA.DQA1",49164.843947128
"RPL12",48929.619242542
"RPS15A",48801.5716186501
"RPL19",48632.5194037454
"RPL37A",48399.2606184557
"MT.CO3",47924.8013898162
"RPL5",47721.5480999756
"RPS23",47569.8242025608
"RPS9",47418.5224277847
"RPL18",47303.7248113989
"HLA.B",47105.0851592394
"RPL37",46954.7267467931
"KLRB1",46947.2153514455
"RPSA",46846.7446698006
"LYZ",46755.652372352
"RPS24",46487.6648617149
"GIMAP7",46336.5415311594
"RPS25",46229.1205557985
"RPL9",45868.7675371701
"RPS28",45837.5948468209
"NFKBIA",45582.191377388
"TMEM66",45533.6443560838
"PABPC1",45400.0012185039
"MT.ND4",45340.9531151906
"TPT1",45310.667574401
"RPS13",45147.7084312234
"S100A10",45097.0549271529
"GNB2L1",44934.052496321
"HLA.C",44901.8349645417
"RPL36",44868.8632510831
"RPS15",44740.3063350231
"CALM1",44482.244055446
"UBC",44383.894059253
"RPS21",44357.3407231735
"MYL12A",44283.1217630976
"RPS29",44155.8710617034
"CFL1",44131.9381034942
"RPS11",44127.2104521501
"TSC22D3",44071.3295818968
"PTPRCAP",44012.7297187541
"RPL6",44008.2655653111
"DDX5",43840.9009772454
"RPS16",43827.0750657003
"FXYD5",43815.8659290056
"RPL28",43549.9160827752
"MYL6",43303.6547864384
"CORO1A",43266.2286359728
"RPL38",43113.6259469546
"RPL23A",43101.716778568
"EEF2",43042.8340929751
"GLTSCR2",43023.6542757507
"FGFBP2",42623.3539057165
"RPL27A",42616.0887958468
"ARHGDIB",42475.2642262233
"MT.ND1",42443.9750608639
"RPL15",42419.1819290947
"EEF1D",42399.6177465131
"TXNIP",42347.3796717151
"RPL35A",42342.202184353
"RPL29",42230.2233063187
"EEF1B2",42225.6963146986
"RPL36A",42210.0929726786
"SLC25A6",42152.4762020125
"CLIC1",42043.7077945845
"RPL35",41739.5720710619
"RPL30",41691.5863267025
"ATP5E",41662.4228394715
"RPS20",41652.3569008706
"ARPC1B",41614.6998101023
"ZFP36",41574.0185284368
"NPM1",41349.1147717797
"RPL26",41272.3328462392
"AES",41270.7055449544
"RPL14",41212.2444945192
"HOPX",41150.9348318369
"UBB",40948.6332950317
"RPL27",40944.2836075579
"LIMD2",40933.6745830785
"EIF1",40873.2351722168
"TAGLN2",40843.8755134313
"RPL41",40778.5035282159
"HLA.E",40771.4359855945
"EMP3",40558.5286513346
"RAC2",40541.0184595886
"PLAC8",40487.8328378253
"SERF2",40313.1782677212
"ARPC2",40034.4735497623
"CD27",39942.8272924107
"COTL1",39938.7044886465
"HNRNPA1",39905.2178582266
"OAZ1",39867.0728189059
"RPL36AL",39710.2377061177
"HSPA8",39689.3123102684
"RPS26",39640.5633991191
"ITM2B",39597.2439982893
"SRGN",39456.1355862634
"RPL22",39404.8607258152
"PTMA",39301.9456594577
"RPL23",39253.0240305657
"GPSM3",38974.4308315413
"GSTP1",38919.9063673475
"FAU",38849.8134509325
"RPL7A",38772.5602211296
"ARPC3",38757.8541104974
"CD99",38677.9516012564
"YBX1",38602.0442403588
"EVL",38430.0278411881
"GYPC",38335.8632271703
"ZFP36L2",38169.4874564435
"TOMM7",38034.7740118764
"GMFG",37991.7546836156
"PFDN5",37952.8177610585
"TMA7",37786.7437482906
"LSP1",37748.4582051376
"MT.ND5",37696.2136605559
"HNRNPA2B1",37610.7696655891
"COX4I1",37586.5515078849
"IFITM1",37530.4972824399
"HINT1",37513.5778049213
"BTF3",37497.0576984963
"UCP2",37482.3691647347
"LAPTM5",37372.4089514424
"CIRBP",37354.6919109987
"PSME1",37336.2483264545
"EIF3G",37328.4353552185
"EIF3L",37319.7464208271
"RPS7",37282.014052189
"RPS10",37251.2682083303
"C6orf48",37251.1229462626
"NACA",37240.0021414352
"PPDPF",37212.1060878831
"COX7C",37210.5745570243
"ANXA1",37063.856574684
"SRSF5",36966.7880611155
"COMMD6",36961.0442440913
"ATP5G2",36957.2183430472
"GSTK1",36935.7681032624
"ATP5L",36846.3490470807
"RPL24",36825.4633840995
"EIF3K",36759.9302335171
"EIF4A2",36745.0359077327
"GZMM",36685.8591357862
"CXCR4",36685.0964551573
"RPL17",36675.0677106311
"PPIA",36551.2085780388
"LY6E",36425.5404375319
"CD247",36324.529136871
"RARRES3",36293.7693681896
"EIF4A1",36266.2992085934
"PNRC1",36257.4680221853
"EIF3F",36211.3461889612
"EIF3H",36180.0744689986
"SSR2",36174.3151873403
"HSP90AA1",36160.9679242399
"LCK",36158.3370308463
"ERP29",36150.6303474399
"CD8B",36121.223388694
"SNRPD2",36065.1553751334
"TRAF3IP3",36046.8102641744
"CRIP1",36034.4337393976
"MYL12B",36008.1927711312
"CNBP",35978.2219231962
"UBA52",35965.0703713899
"C19orf43",35956.9932446528
"KLF6",35944.0423420823
"HMGB1",35744.4675206916
"ALDOA",35712.9564041092
"EDF1",35598.1689234996
"CCNI",35587.6016824795
"ID2",35558.9080783984
"HLA.DQA2",35503.7523545653
"ISG20",35500.2113901926
"CD48",35461.7257986307
"ITGB2",35459.8134879916
"IL2RG",35448.4563019944
"CHCHD2",35401.7814597061
"SRP14",35244.83920757
"SELL",35149.1948581733
"HLA.DQB1",35106.4202757907
"VAMP2",35012.9037358427
"APRT",35004.623359541
"PSMA7",34911.5900242617
"GPX1",34801.3844687151
"SSR4",34781.3281734274
"HNRNPDL",34747.5707907053
"EIF3E",34713.847719933
"UBXN1",34655.4859467708
"UQCR11.1",34654.1237472077
"CAPZB",34614.3454398328
"CD53",34612.6066274672
"NAP1L1",34608.4895538412
"ATP5D",34491.0516125743
"ZFAS1",34454.5909712716
"PRF1",34372.1145584605
"OST4",34349.3460649966
"RBM3",34145.8104105783
"ENO1",33874.5479017745
"RNASET2",33798.1502435512
"IL7R",33661.9177200529
"MZT2B",33650.4075614706
"UQCRH",33617.9697519649
"ARL6IP4",33585.605788874
"TSPO",33542.8024718497
"TUBA1B",33502.6980455607
"TPI1",33442.3786330262
"ANAPC16",33360.1891819571
"RPSAP58",33306.6108209889
"UXT",33306.149884208
"PSME2",33294.3866966087
"PTGDS",33248.8292292869
"COX6B1",33178.5684982126
"CUTA",33174.8480281787
"C12orf57",33146.6254498977
"GPX4",33075.9746574285
"SOD1",33048.1133940314
"ATP6V1G1",32958.7656491871
"HIGD2A",32928.3783003273
"HMGN1",32871.3780933077
"PCBP2",32828.5613614412
"PPP1CA",32694.6803409297
"ATP5O",32691.5514139272
"NDUFA4",32550.9206191698
"SERP1",32463.0334291645
"ST13",32325.7740664163
"RGS10",32319.2296965203
"HNRNPA0",32314.2752011384
"VAMP8",32106.397508226
"SMDT1",32026.5973216577
"UBE2D3",31980.4710014249
"ICAM3",31908.3084949321
"LAMTOR4",31889.2322725271
"LAT",31829.933346272
"PKM",31756.7345219179
"COX6C",31733.0209259377
"MIF",31712.5584427855
"TCEB2",31710.8175619454
"HSP90AB1",31684.6702739404
"PRR13",31599.947839734
"KLF2",31450.1200354089
"CCDC85B",31449.5963281021
"TBC1D10C",31445.3289588483
"YWHAB",31442.0601186
"ACAP1",31431.1409575844
"NDUFB11",31412.1003908478
"GTF3A",31410.692883503
"GUK1",31390.6927252427
"SKP1",31386.0375070576
"ATP6V0E1",31350.4670531329
"SLC25A5",31338.1398407041
"C19orf53",31224.6417956367
"LDHA",31187.5152056157
"SF3B5",31102.7599450738
"CD2",31093.3857837842
"CALM3",31086.1123491545
"PLP2",31021.7422737597
"NEDD8",31017.601790589
"POLR2L",30997.3948194124
"SNHG7",30977.9905727573
"ANP32B",30974.1577452996
"ISCU",30966.0333478774
"SLC25A3",30933.5172981085
"SUMO2",30921.1998017996
"MS4A1",30887.4182076793
"COPE",30878.2462487658
