"","Gene","effect.size","p.value","q.value"
"GNLY","GNLY",21.7544338565627,0,0
"NKG7","NKG7",13.0064157971637,0,0
"S100A8","S100A8",10.4881945523579,9.70242670387702e-41,4.25228517378567e-38
"S100A9","S100A9",9.29460428223704,1.1146455709575e-43,5.16431216532767e-41
"LYZ","LYZ",9.11699669767495,4.67690183394522e-51,2.37002000435174e-48
"HLA.DRA","HLA.DRA",8.77234751548239,0,0
"CST3","CST3",8.37730806568052,1.29688229508255e-56,6.78394945066409e-54
"IGLL5","IGLL5",7.16011111623138,2.47853080771315e-44,1.21793501751141e-41
"PPP1R3G","PPP1R3G",6.05306192482843,0.424162224849816,0.575487995706773
"CCL5","CCL5",5.26905535091477,3.72839826779872e-294,7.557463288828e-291
"CD74","CD74",5.24141533915438,0,0
"PTGDS","PTGDS",4.88704118591764,1.23299678441768e-41,5.55396551558807e-39
"HLA.DRB1","HLA.DRB1",4.82893556784309,0,0
"IL1RN","IL1RN",4.52381005373735,0.220070713796925,0.523883028344259
"AL928768.3","AL928768.3",4.51658548212304,8.3098642605595e-19,2.69505517698466e-16
"TYROBP","TYROBP",4.44733923310584,0,0
"FCN1","FCN1",4.35914359081846,2.07361833880237e-20,7.30995543087374e-18
"GZMB","GZMB",4.03634736605076,2.7588765906026e-201,3.72816189943432e-198
"HLA.DPB1","HLA.DPB1",3.87515242674893,0,0
"HLA.DPA1","HLA.DPA1",3.55062445746435,2.31831921815565e-284,4.17709604906801e-281
"CD79A","CD79A",3.54560173053657,1.83914901966114e-243,2.9823640502825e-240
"RP11.1026M7.2","RP11.1026M7.2",3.43562897964343,0.447849176397484,0.575487995706773
"RP11.1C1.7","RP11.1C1.7",3.3670034937791,0.306599206580522,0.574586405063808
"REPS2","REPS2",3.30236427939236,0.449511730320044,0.575487995706773
"C1QA","C1QA",3.26802947637634,0.12392382300453,0.453213512368392
"RP11.122K13.12","RP11.122K13.12",3.25764233529499,0.246414983891025,0.539640630853084
"RP11.145M9.4","RP11.145M9.4",3.15605700119144,0.451417175435391,0.575487995706773
"GZMA","GZMA",3.08245481686139,2.01360893899268e-193,2.5117448119004e-190
"RP11.218F10.3","RP11.218F10.3",3.07000795366555,0.452580093561532,0.575487995706773
"FCER1G","FCER1G",2.97457245413919,3.75701499967465e-175,4.06158368231494e-172
